DATA_VOLUME_WEEKDAYS,social_networks_and_messengers_count,DATA_VOLUME_WEEKENDS,CALCULATION_METHOD_ID,video_content_and_streaming_count,cloud_services_and_email_count,phone_value,device_type_rus_smartphone,ecommerce_score,device_type_rus_phone,online_services_and_digital_stores_count,lifetime,how_long_same_model,AVG_ARPU,SCORING,maps_and_transport_count,calls_count_in_weekdays,calls_count_in_weekends,dating_and_social_platforms_count,calls_count_out_weekdays,target
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,165.6,6.0,34.458025,1,0.0,2.52,4.63,0.0,2.57,5
13.607,169.76999999999998,24.814,1,2.65,63.87,3.0,True,0,False,0.0,152.03333333,9.0,113.06200833,3,0.0,4.13,3.25,0.0,3.83,4
151.475,432.5899999999999,213.445,0,23.42,624.36,3.0,True,1,False,0.0,175.43333333,3.0,59.96215833300001,2,0.0,1.83,1.0,0.0,3.35,4
77.186,359.64,50.619,0,46.94,272.77,3.0,True,1,False,0.48,86.2,3.0,86.885575,2,0.0,2.39,2.75,0.0,3.65,5
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,191.13333333,8.0,41.072116667,3,0.0,3.87,4.13,0.0,0.87,5
11.076,32.480000000000004,9.073,0,7.0,60.230000000000004,3.0,True,0,False,0.0,64.333333333,8.0,16.079716667,2,0.0,3.26,1.0,0.0,2.0,5
0.0,2.46,0.0,0,0.0,4.48,3.0,True,1,False,0.0,142.6,19.0,20.579216667,3,0.0,14.09,1.75,0.0,6.13,5
31.07,193.1,11.388,1,18.23,287.22,3.0,True,1,False,2.42,175.16666667,13.0,64.934825,4,0.0,2.35,1.13,0.0,1.26,4
0.352,1.7399999999999998,1.02,0,0.0,9.190000000000001,3.0,True,0,False,0.0,214.86666667,3.0,142.50053333,3,0.0,5.3,3.75,0.0,16.13,5
6.738,39.97,3.855,0,19.48,236.29,4.0,False,0,False,0.0,172.63333333,13.0,4.622275,0,0.0,3.0,1.38,0.0,5.04,4
150.79399999999995,435.5300000000001,102.999,0,18.97,407.58,3.0,True,1,False,0.0,53.666666667,24.0,44.955766667,1,0.0,5.09,4.75,0.0,9.39,2
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,95.6,7.0,124.53459167,3,0.0,5.39,3.63,0.0,0.0,3
9.432,8.709999999999999,117.218,0,38.0,69.67,4.0,False,0,True,0.0,78.833333333,1.0,72.710616667,1,0.0,15.39,11.5,0.0,11.65,3
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,130.76666667,25.0,35.082683333,0,0.0,1.57,1.75,0.0,1.83,6
0.003,0.42,0.0,0,3.23,19.19,3.0,True,1,False,0.0,6.6333333333,3.0,48.167928571,1,0.0,0.0,0.0,0.0,0.3,3
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,204.33333333,19.0,57.297791667,2,0.0,23.96,27.88,0.0,10.48,3
0.001,2.8000000000000003,0.0,0,0.0,2.1,3.0,True,0,False,0.0,71.233333333,24.0,28.565491667,1,0.0,6.22,3.25,0.0,0.61,4
8.789,4.84,17.442,0,16.23,39.8,3.0,True,0,False,0.0,166.4,7.0,17.310691667,1,0.0,2.13,2.5,0.0,1.91,5
29.381,100.45,9.482,0,7.68,106.52,3.0,True,0,False,0.0,174.1,13.0,157.57116667,3,0.0,6.91,3.5,0.0,4.3,5
50.892,143.70000000000002,56.794,0,16.55,55.39,3.0,True,1,False,1.94,46.6,3.0,92.951041667,2,0.0,1.91,1.63,0.0,1.65,3
29.72300000000001,70.13,10.278,0,34.32,232.04,3.0,True,1,False,1.9,102.6,12.0,48.524183333,3,0.0,11.13,0.88,0.0,3.83,5
1.5219999999999998,0.0,0.878,0,0.0,0.0,4.0,False,0,False,0.0,126.96666667,25.0,32.432275,0,0.0,9.43,5.88,0.0,18.96,5
22.409,154.0,2.9360000000000004,0,42.55,137.48999999999998,3.0,True,0,False,0.0,14.8,14.0,37.583275,1,0.0,0.87,0.13,0.0,2.09,6
0.055,0.06,0.0,0,0.0,0.03,4.0,False,0,False,0.0,93.433333333,18.0,37.166458333,0,0.0,7.83,8.0,0.0,5.78,4
46.77,124.71000000000001,4.606,1,6.94,58.779999999999994,3.0,True,0,False,0.0,133.33333333,8.0,42.259166667,1,0.0,8.09,5.5,0.0,5.57,5
21.379,135.24999999999997,14.308,1,13.29,119.45,3.0,True,1,False,1.23,117.1,8.0,46.747625,1,0.0,5.87,2.38,0.0,6.96,5
284.071,851.4499999999999,125.212,0,177.13,442.48,3.0,True,0,False,4.77,51.533333333,10.0,169.18245833,2,0.0,6.13,4.5,0.0,4.91,4
23.58,11.75,25.902,1,3.77,231.29,3.0,True,1,False,0.0,87.566666667,10.0,47.393983333,3,0.0,8.91,7.25,0.0,17.3,5
24.31900000000001,80.13,54.124,0,2.06,87.97000000000001,3.0,True,0,False,0.0,64.8,8.0,52.851958333,3,0.0,8.87,0.88,0.0,9.83,3
94.676,172.52,111.767,1,15.1,52.39,2.0,True,1,False,94.58,99.3,10.0,128.64523333,4,8.68,3.22,2.38,0.0,2.96,4
3.315,192.70000000000002,198.282,0,39.48,275.13,3.0,True,1,False,6.48,193.36666667,19.0,91.683008333,4,1.77,2.04,1.88,0.0,3.61,4
0.03,0.0,0.018,1,0.0,0.0,3.0,True,0,False,0.0,104.33333333,25.0,27.846325,2,0.0,2.87,1.5,0.0,3.0,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,False,0.0,69.1,14.0,27.336316667,0,0.0,0.48,0.63,0.0,0.13,6
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,147.3,19.0,9.374475,0,0.0,1.96,3.88,0.0,0.43,6
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,170.76666667,6.0,13.262558333,2,0.0,4.17,0.38,0.0,6.87,5
151.78799999999995,426.02000000000004,204.825,0,39.1,661.3599999999999,3.0,True,1,False,4.77,119.33333333,9.0,58.344741667,2,0.0,1.52,3.25,2.58,2.0,2
0.001,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,58.766666667,25.0,75.523766667,2,0.0,3.09,0.5,0.0,8.87,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,191.0,25.0,12.941166667,0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,83.133333333,25.0,35.120358333,1,0.0,4.7,4.13,0.0,3.0,5
0.009,0.0,0.002,0,0.0,0.32,4.0,False,0,True,0.0,195.73333333,7.0,24.998425,0,0.0,0.91,0.0,0.0,2.57,4
12.484000000000002,111.86999999999999,2.31,1,0.45,166.03,3.0,True,0,False,1.71,30.7,21.0,55.261441667,1,0.0,7.74,1.5,0.0,6.17,4
12.248,118.45,8.782,0,11.48,129.13,3.0,True,0,False,0.0,158.2,25.0,86.322808333,2,0.0,6.65,4.5,0.0,5.39,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,160.83333333,25.0,39.623875,0,0.0,1.39,1.38,0.0,0.91,6
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,14.633333333,14.0,41.828083333,1,0.0,3.09,1.0,0.0,4.0,5
20.139,14.64,2.5,0,11.1,129.65,3.0,True,1,False,0.0,162.3,25.0,49.749683333,3,0.0,2.43,1.25,0.0,2.22,4
99.809,196.73999999999998,113.577,0,39.13,158.97,3.0,True,1,False,0.0,18.1,10.0,69.839908333,2,0.0,6.39,5.38,0.0,10.83,2
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,211.73333333,23.0,120.42396667,4,0.0,8.43,6.88,0.0,7.65,6
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,141.13333333,25.0,9.6405083333,0,0.0,0.91,1.13,0.0,1.48,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,54.3,25.0,12.970691667,0,0.0,0.87,0.88,0.0,1.22,6
9.872,19.639999999999997,13.037,1,2.06,208.67000000000002,3.0,True,0,False,0.06,151.73333333,25.0,60.383075,3,0.0,1.91,2.13,0.0,4.35,6
42.593,177.03,77.613,0,28.709999999999997,68.75,3.0,True,1,False,54.29,167.86666667,20.0,16.428083333,2,15.059999999999999,3.26,2.13,0.0,6.04,3
14.36,73.58,65.197,0,4.32,11.61,2.0,True,0,False,26.29,80.333333333,1.0,28.499725,1,7.29,1.52,1.88,0.0,1.78,3
3.017,20.57,0.617,1,10.45,48.87,3.0,True,1,False,0.0,63.3,20.0,63.709908333,4,0.0,2.39,2.0,0.0,2.04,4
62.462,27.03,44.338,1,10.19,308.13,2.0,True,1,False,30.97,188.73333333,25.0,531.47068333,4,45.71,6.57,1.88,0.0,5.78,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,False,0.0,49.166666667,25.0,7.3243083333,0,0.0,0.0,0.0,0.0,0.0,4
113.356,527.77,151.804,0,55.45,290.25,3.0,True,1,False,0.23,49.3,9.0,78.249541667,2,0.0,12.52,14.88,0.0,13.83,3
79.472,248.87,69.561,1,116.74,348.19,3.0,True,1,False,9.0,122.63333333,11.0,65.64305,3,0.0,0.96,1.63,0.0,1.43,3
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,114.76666667,9.0,7.287525,1,0.0,3.7,3.88,0.0,4.65,3
0.18,1.74,1.873,0,0.77,6.26,3.0,True,0,False,0.0,148.46666667,6.0,43.041658333,1,0.0,3.04,3.13,0.0,2.74,6
570.054,1652.6399999999999,646.5980000000002,0,99.19,946.87,3.0,True,1,False,0.94,106.13333333,10.0,79.462908333,2,0.0,3.13,1.88,0.0,2.78,1
9.852,14.98,0.0,1,3.39,45.769999999999996,3.0,True,1,False,0.0,95.966666667,13.0,60.000075,3,0.0,0.09,0.13,0.0,0.09,4
200.041,53.580000000000005,174.206,0,135.32,133.9,2.0,True,1,False,65.45,101.96666667,16.0,68.33205,3,4.58,3.26,4.13,23.39,2.96,3
0.148,0.0,0.168,1,0.0,0.0,4.0,False,0,False,0.0,6.8666666667,7.0,6.2745142857000005,0,0.0,0.0,0.0,0.0,0.0,4
133.625,199.46,106.843,0,21.55,150.16,2.0,True,1,False,45.23,82.1,8.0,62.874416667,4,11.45,7.22,9.5,0.0,6.26,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,False,0.0,53.1,21.0,41.124208333,0,0.0,0.83,0.0,0.0,0.61,4
6.394,13.059999999999999,0.66,1,0.32,8.65,2.0,True,1,False,7.87,88.26666666700001,10.0,34.983566667,3,2.03,2.7,0.88,0.0,1.3,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,False,0.0,147.6,14.0,41.241858333,0,0.0,0.96,1.0,0.0,0.96,5
22.762,87.06,16.878,1,4.65,157.26000000000002,3.0,True,0,False,0.0,130.56666667,5.0,97.026183333,3,0.0,2.74,0.5,0.0,3.09,3
842.19,1084.2599999999998,606.14,0,143.23,345.83000000000004,2.0,True,1,False,154.45,111.4,9.0,127.08096667,4,64.55,7.39,4.38,0.42,9.3,2
24.521,60.830000000000005,35.523,1,17.39,160.33,3.0,True,0,False,0.0,93.533333333,15.0,21.859133333000003,1,0.0,2.13,2.0,0.0,2.52,6
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,43.5,8.0,65.162366667,3,0.0,1.61,0.75,0.0,2.7,4
49.904,71.16,22.886,0,5.74,116.89999999999999,3.0,True,0,False,0.0,130.36666667,25.0,53.98195,1,0.0,3.48,3.0,0.0,0.39,3
293.071,794.93,335.05800000000005,0,8.03,47.64,3.0,True,0,False,144.68,85.233333333,8.0,87.99840833299999,2,15.97,25.39,25.25,0.0,12.96,1
151.852,167.48999999999998,160.065,0,16.799999999999997,54.16,2.0,True,1,False,62.25999999999999,26.266666667,25.0,212.44928333,2,4.58,1.57,4.63,0.0,1.04,1
23.689,302.06,17.752,1,19.48,385.38,3.0,True,0,False,0.61,94.366666667,25.0,45.751633333,3,0.0,14.96,8.25,0.0,8.52,5
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,171.46666667,25.0,32.373533333000005,2,0.0,2.35,2.0,0.0,4.61,6
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,149.63333333,22.0,25.490183333,0,0.0,0.04,0.38,0.0,0.04,3
1.765,19.259999999999998,15.461,0,0.61,19.029999999999998,3.0,True,0,False,0.0,131.8,1.0,43.663575,4,0.0,2.17,1.63,0.0,1.17,3
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,158.9,1.0,51.478591667,2,0.0,0.57,0.25,0.0,0.48,6
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,28.133333333000003,16.0,55.197975,1,0.0,0.17,0.0,0.0,0.13,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,107.1,25.0,18.431216667,0,0.0,0.87,0.88,0.0,1.04,6
52.215,356.12,25.89,0,29.71,422.74,3.0,True,0,False,0.0,166.4,21.0,84.427875,2,0.0,11.13,2.88,0.0,8.83,3
0.012,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,182.6,10.0,20.505575,2,0.0,5.39,1.25,0.0,5.13,4
203.115,219.54,85.21700000000001,0,47.48,426.94,3.0,True,1,False,0.99,166.3,25.0,67.795525,3,0.0,3.3,2.0,0.0,2.43,3
104.629,2859.77,83.117,0,54.52,530.9,3.0,True,0,False,0.03,43.4,20.0,30.54155,1,0.0,3.83,2.63,0.0,0.74,1
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,154.4,25.0,19.789966667,0,0.0,0.87,0.75,0.0,0.74,6
147.822,157.41,90.627,0,24.87,250.42000000000002,3.0,True,1,False,0.0,17.933333333,4.0,65.334675,2,0.0,2.48,2.0,0.0,2.7,3
25.182,145.89000000000001,24.167,1,71.39,62.35,3.0,True,0,False,0.0,140.9,25.0,46.40523333300001,1,0.0,1.0,0.0,0.0,1.3,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,56.366666667,25.0,42.228925,0,0.0,1.13,0.5,0.0,3.35,6
4.827,14.67,0.0,0,1.9,17.26,3.0,True,1,False,0.0,191.13333333,21.0,0.7083,1,0.0,4.57,2.88,0.0,5.91,4
73.574,376.61,134.546,0,7.32,53.55,2.0,True,1,False,87.23,168.63333333,22.0,112.797075,4,43.32,2.0,2.88,215.9,5.87,3
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,154.06666667,3.0,96.356791667,2,0.0,0.65,0.63,0.0,2.04,4
210.429,173.68,162.107,1,22.29,123.23,2.0,True,0,False,69.94,169.16666667,6.0,109.21575833,4,3.58,5.35,3.0,0.0,5.0,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,166.33333333,25.0,12.97385,0,0.0,0.52,0.0,0.0,0.61,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,83.733333333,21.0,32.044016667,0,0.0,6.04,5.0,0.0,1.48,6
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,47.7,8.0,16.332916667,1,0.0,0.91,0.0,0.0,0.78,5
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,162.7,6.0,51.90755,3,0.0,14.65,5.13,0.0,11.43,6
643.982,81.26,1057.9160000000004,0,330.94,273.9,3.0,True,1,False,0.0,83.866666667,8.0,74.92178333300001,3,0.0,7.0,7.88,0.0,3.87,3
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,6.7333333333,3.0,93.620971429,2,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,169.3,4.0,37.708108333,3,0.0,5.87,1.25,0.0,4.61,3
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,117.6,1.0,105.97646667,3,0.0,6.35,6.63,0.0,6.57,4
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,166.23333333,25.0,24.175625,1,0.0,0.48,0.38,0.0,0.17,5
181.99,144.98000000000002,16.497,0,15.32,105.61,3.0,True,1,False,20.77,193.33333333,25.0,92.874558333,4,7.61,2.48,1.38,0.0,6.74,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,False,0.0,113.13333333,19.0,51.470775,0,0.0,0.3,0.0,0.0,4.96,5
195.805,72.1,145.86700000000005,1,45.68,329.74,2.0,True,1,False,68.13,208.3,25.0,457.30501667,4,48.839999999999996,17.48,8.63,0.0,14.26,4
171.56599999999997,116.71,62.527,1,14.94,50.129999999999995,2.0,True,0,False,48.45,173.23333333,7.0,1018.764725,4,32.13,44.91,10.88,0.0,36.65,5
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,42.0,18.0,28.997225,1,0.0,0.39,0.0,0.0,0.17,3
138.66,173.26,348.0440000000001,1,52.84,78.71000000000001,2.0,True,1,False,56.87,195.4,25.0,162.713375,4,2.87,6.78,3.38,0.0,7.74,4
79.715,32.09,44.848,1,13.81,54.9,2.0,True,1,False,42.48,183.93333333,4.0,142.45145,4,4.35,7.09,0.25,0.0,12.09,4
0.002,0.0,0.005,1,0.0,0.0,4.0,False,0,True,0.0,43.466666667,25.0,34.222266667,0,0.0,6.74,7.63,0.0,7.0,4
73.953,250.49,79.23899999999998,1,136.84,290.07,3.0,True,0,False,0.0,88.866666667,3.0,48.5125,1,0.0,8.3,7.88,0.0,5.3,5
35.254,221.70999999999998,8.685,1,11.13,219.29,3.0,True,1,False,0.0,123.96666667,21.0,43.725533333,3,0.0,10.7,8.75,0.0,12.48,5
102.269,287.15000000000003,105.352,0,46.29,152.45,3.0,True,0,False,0.29000000000000004,174.33333333,25.0,69.62468333300001,3,0.0,5.04,8.13,0.0,6.0,3
2.381,6.9,2.127,0,1.42,4.68,3.0,True,0,False,0.0,56.766666667,15.0,40.12465,1,0.0,0.04,0.13,0.0,0.22,4
4.593999999999999,10.36,1.695,0,41.9,35.35,3.0,True,0,False,0.0,27.933333333,14.0,27.291258333,2,0.0,4.39,3.88,0.0,3.96,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,148.5,4.0,7.1249166667,0,0.0,0.09,0.25,0.0,0.04,6
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,25.133333333000003,12.0,80.252566667,3,0.0,5.83,5.13,0.0,4.7,4
38.878,167.45,3.151,0,9.65,175.19,3.0,True,0,False,0.51,143.1,5.0,40.624991667,1,0.0,1.04,0.38,0.0,0.57,4
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,False,0.0,68.266666667,25.0,58.134708333,2,0.0,11.17,14.25,0.0,10.87,4
414.12300000000016,90.0,271.311,0,311.52,266.64,3.0,True,1,False,0.23,152.33333333,13.0,130.507675,3,0.0,5.83,1.0,0.0,7.7,4
535.419,1460.6000000000004,467.267,0,112.32,545.26,3.0,True,1,False,0.03,56.766666667,12.0,108.45810833,3,0.1,4.87,4.5,0.0,4.65,2
10.091,108.61999999999999,33.871,1,3.65,172.29000000000002,2.0,True,1,False,1.9,170.13333333,7.0,78.833391667,4,0.0,6.83,5.63,0.0,7.87,3
33.462,146.64,50.158,1,23.61,185.17,3.0,True,0,False,0.0,187.43333333,15.0,98.273841667,4,0.0,6.09,2.5,0.0,6.13,4
2.373,0.93,0.0,0,0.06,3.35,3.0,True,0,False,0.0,122.2,23.0,45.7478,1,0.0,0.09,0.13,0.0,0.65,3
32.838,234.77999999999997,24.914,0,6.39,89.38000000000001,3.0,True,0,False,0.0,35.633333333,2.0,90.790425,3,0.0,5.48,4.0,0.0,5.78,2
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,171.43333333,25.0,48.4134,3,0.0,2.74,2.38,0.0,1.91,3
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,False,0.0,81.966666667,4.0,0.0,0,0.0,2.22,0.75,0.0,1.74,3
21.448,100.78,22.933000000000003,1,6.87,92.83,3.0,True,1,False,0.0,133.03333333,13.0,64.790191667,3,0.03,1.26,1.75,0.0,1.0,3
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,85.5,16.0,35.994608333,3,0.0,26.0,16.25,0.0,35.78,5
17.067,24.16,11.701,1,1.39,8.52,2.0,True,1,False,8.77,175.56666667,1.0,63.447625,4,0.87,6.65,5.13,0.0,5.48,5
45.361,160.94,28.728,1,1.06,117.93,2.0,True,1,False,38.06,178.56666667,9.0,69.14965,4,61.94,1.78,1.63,0.0,2.65,4
100.469,103.29,223.982,0,65.81,211.33,3.0,True,1,False,0.0,214.86666667,2.0,176.810025,3,0.0,9.17,7.0,0.0,9.48,3
176.136,740.1299999999999,213.125,0,277.35,291.0,3.0,True,1,False,0.0,86.666666667,3.0,96.222758333,2,0.0,6.26,3.63,0.0,3.83,2
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,87.3,25.0,125.14309167,3,0.0,8.78,3.0,0.0,4.91,6
57.881,32.25,45.649,1,35.68,112.77000000000001,3.0,True,1,False,0.03,171.76666667,8.0,48.0505,4,0.0,3.35,4.38,0.0,3.48,4
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,157.46666667,20.0,42.23955,1,0.0,0.0,0.0,0.0,0.0,3
0.003,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,40.2,4.0,565.5,3,0.13,0.0,0.0,0.0,0.0,4
11.502,13.03,13.057,0,0.65,118.16,3.0,True,0,False,11.06,184.36666667,16.0,50.290991667,1,0.65,7.09,4.25,0.0,5.74,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,132.43333333,25.0,56.168725,1,0.0,13.43,2.38,0.0,12.78,4
0.403,0.87,0.0,1,0.06,2.19,3.0,True,1,False,0.0,169.93333333,14.0,72.691883333,4,0.0,7.83,3.75,0.0,4.87,5
1.256,15.7,0.6629999999999999,0,3.32,49.87,3.0,True,1,False,0.0,140.86666667,18.0,55.225116667,1,0.0,11.74,6.63,0.0,10.17,3
28.557,22.77,21.173,0,20.97,75.8,3.0,True,1,False,0.71,110.46666667,15.0,33.850325,3,0.0,7.91,6.13,0.0,1.43,3
15.845,9.25,0.7170000000000001,1,17.26,24.65,3.0,True,0,False,0.0,116.83333333,25.0,65.719008333,2,0.0,1.26,0.88,0.0,1.22,6
0.208,7.129999999999999,0.986,0,0.61,6.81,3.0,True,0,False,0.0,119.06666667,24.0,8.3691333333,2,0.0,8.09,2.0,0.0,9.48,5
291.127,409.68,235.128,1,23.1,210.68,3.0,True,0,False,0.0,130.2,5.0,68.7155,3,0.0,14.87,11.13,0.0,21.04,4
14.508,54.41,1.156,0,2.94,30.87,3.0,True,1,False,0.9,214.86666667,25.0,76.764341667,3,0.0,13.0,9.0,0.0,11.35,5
4.1080000000000005,4.84,0.862,0,0.0,26.909999999999997,3.0,True,0,False,0.0,77.733333333,22.0,53.33225,1,0.0,2.61,0.88,0.0,3.78,5
4122.654,222.8,2152.686,0,242.61,2009.61,3.0,True,1,False,192.77,45.566666667,7.0,147.39380833,3,0.0,1.13,1.38,0.0,1.96,4
55.285,352.68,152.326,0,73.35,143.35,3.0,True,0,False,0.0,67.8,25.0,59.416491667,2,0.0,2.0,0.25,0.0,2.09,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,129.93333333,1.0,41.786725,2,0.0,0.57,1.0,0.0,0.52,6
1.747,2.87,1.652,0,7.26,23.580000000000002,3.0,True,0,False,0.0,31.8,7.0,40.124041667,1,0.0,1.13,0.75,0.0,0.39,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,61.6,25.0,43.028191667,0,0.0,11.61,2.13,0.0,13.13,4
7.349,9.65,2.116,0,9.71,24.959999999999997,3.0,True,0,False,0.0,55.6,4.0,46.534225,1,0.0,11.96,3.75,0.0,10.09,6
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,45.2,19.0,30.47625,1,0.0,9.22,6.13,0.0,3.96,6
36.45,81.64,2.331,0,0.84,123.16,3.0,True,0,False,0.0,166.3,25.0,2.5932,2,0.0,8.26,3.13,0.0,7.43,4
4.357,24.81,2.106,0,0.0,17.55,3.0,True,0,False,0.71,214.86666667,24.0,108.24823333,4,0.0,1.09,0.75,0.0,0.87,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,1,True,0.0,27.133333333000003,25.0,72.303958333,1,0.0,0.0,0.0,0.0,162.26,3
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,61.033333333,11.0,34.18295,1,0.0,16.17,12.75,0.0,3.43,5
31.955,216.36,11.451,0,19.42,172.65,3.0,True,0,False,0.0,10.9,9.0,69.944018182,2,0.0,1.61,2.5,0.0,1.57,3
8.209,36.09,3.475,1,2.35,35.45,3.0,True,0,False,0.48,110.8,24.0,34.96735,3,0.0,1.22,1.0,0.0,1.57,6
0.0,0.0,0.0,1,0.0,0.0,3.0,True,0,False,0.0,53.9,12.0,34.200925,1,0.0,0.04,0.0,0.0,0.0,5
0.0,0.0,0.0,0,0.0,0.0,4.0,False,0,True,0.0,161.43333333,10.0,23.630758333000003,0,0.0,1.78,3.63,0.0,2.52,5
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,False,0.0,81.3,4.0,29.197233333000003,0,0.0,0.57,0.5,0.0,1.22,6
476.87300000000016,726.6799999999998,582.4590000000002,0,10.35,123.0,2.0,True,0,False,344.48,108.33333333,9.0,129.55226667,4,9.77,10.26,10.75,0.0,6.83,2
1.561,14.65,0.0,0,11.1,14.71,3.0,True,0,False,0.0,130.33333333,10.0,55.333016667,3,0.0,3.13,1.13,0.0,2.35,5
